position_holder,issuer_name,net_short_position,isin,position_date,source
"AQR Capital Management, LLC",Adyen N.V.,1.0,NL0012969182,2026-04-02,current
"AQR Capital Management, LLC",Alfen N.V.,0.7,NL0012817175,2026-04-02,current
"AQR Capital Management, LLC",CVC Capital Partners plc,0.61,JE00BRX98089,2026-04-02,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,0.48,BE0003818359,2026-04-02,current
"BlackRock Advisors, LLC",Akzo Nobel N.V.,0.48,NL0013267909,2026-04-02,current
"BlackRock Financial Management, Inc.",IMCD N.V.,0.99,NL0010801007,2026-04-02,current
Citadel Advisors LLC,Randstad N.V.,0.6,NL0000379121,2026-04-02,current
Citadel Advisors LLC,Sligro Food Group N.V.,0.5,NL0000817179,2026-04-02,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,0.7,NL0006237562,2026-04-02,current
Eleva Capital SAS,Basic-Fit N.V.,0.62,NL0011872650,2026-04-02,current
Millennium International Management LP,Pharming Group N.V.,0.49,NL0010391025,2026-04-02,current
Millennium International Management LP,Randstad N.V.,0.49,NL0000379121,2026-04-02,current
"AQR Capital Management, LLC",ArcelorMittal S.A.,0.61,LU1598757687,2026-04-01,current
"AQR Capital Management, LLC",Signify N.V.,1.1,NL0011821392,2026-04-01,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,1.21,NL0010801007,2026-04-01,current
Canada Pension Plan Investment Board,Signify N.V.,0.74,NL0011821392,2026-04-01,current
Citadel Advisors LLC,Signify N.V.,2.36,NL0011821392,2026-04-01,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,0.69,NL0006237562,2026-04-01,current
Eleva Capital SAS,Basic-Fit N.V.,0.5,NL0011872650,2026-04-01,current
Marshall Wace LLP,Signify N.V.,1.79,NL0011821392,2026-04-01,current
Millennium International Management LP,Akzo Nobel N.V.,0.69,NL0013267909,2026-04-01,current
Millennium International Management LP,Randstad N.V.,0.5,NL0000379121,2026-04-01,current
Voleon Capital Management LP,Avantium N.V.,0.59,NL0015002IE0,2026-04-01,current
"WorldQuant, LLC",Alfen N.V.,2.86,NL0012817175,2026-04-01,current
Capital Fund Management S.A.,IMCD N.V.,0.62,NL0010801007,2026-03-31,current
Citadel Advisors LLC,Signify N.V.,2.4,NL0011821392,2026-03-31,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.09,NL0012817175,2026-03-31,current
Eleva Capital SAS,Signify N.V.,1.21,NL0011821392,2026-03-31,current
Marshall Wace LLP,Akzo Nobel N.V.,0.58,NL0013267909,2026-03-31,current
Qube Research & Technologies Ltd.,CVC Capital Partners plc,0.9,JE00BRX98089,2026-03-31,current
Viking Global Investors LP,ING Groep N.V.,0.58,NL0011821202,2026-03-31,current
"AQR Capital Management, LLC",Adyen N.V.,0.9,NL0012969182,2026-03-30,current
"AQR Capital Management, LLC",Akzo Nobel N.V.,0.59,NL0013267909,2026-03-30,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,0.58,BE0003818359,2026-03-30,current
"D. E. Shaw & Co., L.P.",IMCD N.V.,0.6,NL0010801007,2026-03-30,current
Eleva Capital SAS,Signify N.V.,1.05,NL0011821392,2026-03-30,current
GLG Partners LP,The Magnum Ice Cream Company N.V.,0.64,NL0015002MS2,2026-03-30,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,0.91,CH1216478797,2026-03-30,current
Marshall Wace LLP,Akzo Nobel N.V.,0.6,NL0013267909,2026-03-30,current
Marshall Wace LLP,Signify N.V.,1.87,NL0011821392,2026-03-30,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,1.59,NL0015002MS2,2026-03-30,current
Millennium International Management LP,Pharming Group N.V.,0.58,NL0010391025,2026-03-30,current
Numeric Investors LLC,NSI N.V.,0.61,NL0012365084,2026-03-30,current
"PDT Partners, LLC",Fugro N.V.,0.58,NL00150003E1,2026-03-30,current
Squarepoint Ops LLC,ARCADIS N.V.,0.99,NL0006237562,2026-03-30,current
"Two Sigma Investments, LP",Theon International Plc,0.7,CY0200751713,2026-03-30,current
Viking Global Investors LP,ING Groep N.V.,0.61,NL0011821202,2026-03-30,current
Voleon Capital Management LP,Avantium N.V.,0.69,NL0015002IE0,2026-03-30,current
"AQR Capital Management, LLC",ARCADIS N.V.,0.9,NL0006237562,2026-03-27,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,1.12,NL0010801007,2026-03-27,current
"BlackRock Financial Management, Inc.",IMCD N.V.,1.09,NL0010801007,2026-03-27,current
Capital Fund Management S.A.,IMCD N.V.,0.51,NL0010801007,2026-03-27,current
Citadel Advisors LLC,Randstad N.V.,0.59,NL0000379121,2026-03-27,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,0.7,NL0006237562,2026-03-27,current
"D. E. Shaw & Co., L.P.",Pharming Group N.V.,0.59,NL0010391025,2026-03-27,current
GLG Partners LP,The Magnum Ice Cream Company N.V.,0.59,NL0015002MS2,2026-03-27,current
Marshall Wace LLP,Randstad N.V.,0.86,NL0000379121,2026-03-27,current
Millennium Capital (DIFC) Limited,Randstad N.V.,0.51,NL0000379121,2026-03-27,current
Millennium International Management LP,Akzo Nobel N.V.,0.75,NL0013267909,2026-03-27,current
Qube Research & Technologies Ltd.,Signify N.V.,0.79,NL0011821392,2026-03-27,current
Voleon Capital Management LP,Avantium N.V.,0.73,NL0015002IE0,2026-03-27,current
Voleon Capital Management LP,Theon International Plc,0.52,CY0200751713,2026-03-27,current
Wellington Management International Ltd.,Basic-Fit N.V.,0.6,NL0011872650,2026-03-27,current
"D. E. Shaw & Co., L.P.",ARCADIS N.V.,0.69,NL0006237562,2026-03-26,current
Ilex Capital Partners (UK) LLP,The Magnum Ice Cream Company N.V.,0.64,NL0015002MS2,2026-03-26,current
Marshall Wace LLP,Signify N.V.,1.96,NL0011821392,2026-03-26,current
Qube Research & Technologies Ltd.,Theon International Plc,1.14,CY0200751713,2026-03-26,current
"Two Sigma Investments, LP",InPost S.A.,1.5,LU2290522684,2026-03-26,current
Voleon Capital Management LP,IMCD N.V.,0.5,NL0010801007,2026-03-26,current
"WorldQuant, LLC",Alfen N.V.,2.92,NL0012817175,2026-03-26,current
"WorldQuant, LLC",IMCD N.V.,0.71,NL0010801007,2026-03-26,current
"AQR Capital Management, LLC",Adyen N.V.,0.8,NL0012969182,2026-03-25,current
"AQR Capital Management, LLC",Akzo Nobel N.V.,0.6,NL0013267909,2026-03-25,current
"AQR Capital Management, LLC",CVC Capital Partners plc,0.5,JE00BRX98089,2026-03-25,current
GLG Partners LP,The Magnum Ice Cream Company N.V.,0.6,NL0015002MS2,2026-03-25,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,0.82,CH1216478797,2026-03-25,current
Ilex Capital Partners (UK) LLP,The Magnum Ice Cream Company N.V.,0.57,NL0015002MS2,2026-03-25,current
Millennium Capital (DIFC) Limited,Signify N.V.,0.81,NL0011821392,2026-03-25,current
Squarepoint Ops LLC,IMCD N.V.,0.6,NL0010801007,2026-03-25,current
Voleon Capital Management LP,Avantium N.V.,0.86,NL0015002IE0,2026-03-25,current
"Arrowstreet Capital, Limited Partnership",Galapagos NV,0.69,BE0003818359,2026-03-24,current
JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,0.56,NL0010801007,2026-03-24,current
Lazard Asset Management LLC,Pharming Group N.V.,1.14,NL0010391025,2026-03-24,current
Marshall Wace LLP,Randstad N.V.,0.91,NL0000379121,2026-03-24,current
Marshall Wace LLP,Signify N.V.,2.0,NL0011821392,2026-03-24,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,1.6,NL0015002MS2,2026-03-24,current
Millennium Capital (DIFC) Limited,Signify N.V.,0.79,NL0011821392,2026-03-24,current
"PDT Partners, LLC",IMCD N.V.,0.9,NL0010801007,2026-03-24,current
Qube Research & Technologies Ltd.,CVC Capital Partners plc,0.81,JE00BRX98089,2026-03-24,current
Qube Research & Technologies Ltd.,Signify N.V.,0.89,NL0011821392,2026-03-24,current
Squarepoint Ops LLC,IMCD N.V.,0.59,NL0010801007,2026-03-24,current
"Two Sigma Investments, LP",InPost S.A.,1.44,LU2290522684,2026-03-24,current
"Two Sigma Investments, LP",Theon International Plc,0.6,CY0200751713,2026-03-24,current
Voleon Capital Management LP,Alfen N.V.,2.0,NL0012817175,2026-03-24,current
Voleon Capital Management LP,Avantium N.V.,1.01,NL0015002IE0,2026-03-24,current
Actus Ray Partners Limited,Envipco Holding N.V.,0.62,NL0015000GX8,2026-03-23,current
"AQR Capital Management, LLC",Adyen N.V.,0.72,NL0012969182,2026-03-23,current
"AQR Capital Management, LLC",Alfen N.V.,0.64,NL0012817175,2026-03-23,current
"Arrowstreet Capital, Limited Partnership",IMCD N.V.,1.01,NL0010801007,2026-03-23,current
"BlackRock Financial Management, Inc.",Signify N.V.,0.6,NL0011821392,2026-03-23,current
Citadel Advisors Europe Limited,Signify N.V.,1.19,NL0011821392,2026-03-23,current
Citadel Advisors LLC,Signify N.V.,2.3,NL0011821392,2026-03-23,current
"D. E. Shaw & Co., L.P.",Alfen N.V.,1.18,NL0012817175,2026-03-23,current
"D. E. Shaw & Co., L.P.",PostNL N.V.,0.69,NL0009739416,2026-03-23,current
GLG Partners LP,The Magnum Ice Cream Company N.V.,0.51,NL0015002MS2,2026-03-23,current
Kintbury Capital LLP,Akzo Nobel N.V.,0.78,NL0013267909,2026-03-23,current
