issuer_name,isin,position_date,position_holder,net_short_position,source
IMCD N.V.,NL0010801007,2026-04-16,Acadian Asset Management LLC.,0.69,current
Akzo Nobel N.V.,NL0013267909,2026-04-16,AKO Capital LLP,1.07,current
Adyen N.V.,NL0012969182,2026-04-16,"AQR Capital Management, LLC",1.3,current
Akzo Nobel N.V.,NL0013267909,2026-04-16,"AQR Capital Management, LLC",0.5,current
Universal Music Group N.V.,NL0015000IY2,2026-04-16,"AQR Capital Management, LLC",0.58,current
IMCD N.V.,NL0010801007,2026-04-16,Citadel Advisors LLC,0.47,current
Signify N.V.,NL0011821392,2026-04-16,Citadel Advisors LLC,2.32,current
Alfen N.V.,NL0012817175,2026-04-16,"D. E. Shaw & Co., L.P.",0.78,current
IMCD N.V.,NL0010801007,2026-04-16,JPMorgan Asset Management (UK) Ltd.,0.85,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-04-16,JPMorgan Asset Management (UK) Ltd.,0.58,current
Pharming Group N.V.,NL0010391025,2026-04-16,Lazard Asset Management LLC,1.18,current
IMCD N.V.,NL0010801007,2026-04-16,Marshall Wace LLP,0.52,current
Signify N.V.,NL0011821392,2026-04-16,Millennium Capital (DIFC) Limited,0.79,current
Alfen N.V.,NL0012817175,2026-04-16,Voleon Capital Management LP,1.79,current
Theon International Plc,CY0200751713,2026-04-16,Voleon Capital Management LP,0.48,current
Alfen N.V.,NL0012817175,2026-04-16,"WorldQuant, LLC",2.75,current
Akzo Nobel N.V.,NL0013267909,2026-04-15,AKO Capital LLP,1.41,current
Akzo Nobel N.V.,NL0013267909,2026-04-15,Albar Capital Partners LLP,0.55,current
Adyen N.V.,NL0012969182,2026-04-15,Capital Fund Management S.A.,0.68,current
Signify N.V.,NL0011821392,2026-04-15,Citadel Advisors Europe Limited,1.17,current
DSM-Firmenich AG,CH1216478797,2026-04-15,Ilex Capital Partners (UK) LLP,1.23,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-04-15,Ilex Capital Partners (UK) LLP,0.68,current
IMCD N.V.,NL0010801007,2026-04-15,JPMorgan Asset Management (UK) Ltd.,0.76,current
Pharming Group N.V.,NL0010391025,2026-04-15,Lazard Asset Management LLC,1.2,current
Signify N.V.,NL0011821392,2026-04-15,Marshall Wace LLP,1.82,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-04-15,Marshall Wace LLP,1.15,current
Signify N.V.,NL0011821392,2026-04-15,Millennium Capital (DIFC) Limited,0.8,current
Signify N.V.,NL0011821392,2026-04-15,Qube Research & Technologies Ltd.,0.58,current
Theon International Plc,CY0200751713,2026-04-15,Qube Research & Technologies Ltd.,1.16,current
ARCADIS N.V.,NL0006237562,2026-04-15,Squarepoint Ops LLC,0.88,current
Basic-Fit N.V.,NL0011872650,2026-04-15,Syquant Capital,0.69,current
Alfen N.V.,NL0012817175,2026-04-15,Voleon Capital Management LP,1.89,current
IMCD N.V.,NL0010801007,2026-04-14,"BlackRock Financial Management, Inc.",0.97,current
Havas N.V.,NL0015002K83,2026-04-14,Citadel Advisors LLC,0.51,current
Basic-Fit N.V.,NL0011872650,2026-04-14,Fosse Capital Partners LLP,1.23,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-04-14,Ilex Capital Partners (UK) LLP,0.71,current
IMCD N.V.,NL0010801007,2026-04-14,JPMorgan Asset Management (UK) Ltd.,0.66,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-04-14,Marshall Wace LLP,1.22,current
PostNL N.V.,NL0009739416,2026-04-14,"PDT Partners, LLC",0.5,current
Alfen N.V.,NL0012817175,2026-04-14,"WorldQuant, LLC",2.84,current
Adyen N.V.,NL0012969182,2026-04-13,"AQR Capital Management, LLC",1.21,current
ARCADIS N.V.,NL0006237562,2026-04-13,"AQR Capital Management, LLC",1.01,current
CVC Capital Partners plc,JE00BRX98089,2026-04-13,"AQR Capital Management, LLC",0.71,current
